Name, lastName, Country, Phone Number 
Elisa Gómez Argentina 337-345-5664,
Bernardo Salas Costa Rica 361-558-2199,
Óscar Vega Guinea Ecuatorial 974-794-4871,
Joaquín Reyes Paraguay 475-292-8476,
Pedro Campos Uruguay 379-341-4463,
Germán Pacheco Venezuela 711-877-1064,
Lucía Estrada Nicaragua 342-515-1712,
Gabriel Fernández Cuba 247-253-3614,
Ramiro Torres Argentina 855-421-4382,
Enrique Gaitán Costa Rica 360-644-2565,
Iván Benavides México 382-129-1260,
Leticia Pérez México 545-384-8111,
Marcos Molina Panamá 656-384-3864,
Karina García Colombia 584-576-2845,
César Fonseca Venezuela 932-936-5567,
Francisco Villalobos México 018-310-6493,
Carina Carreño Venezuela 774-416-1796,
Gael Herrera Perú 241-407-5803,
Mariana Zavala Bolivia 128-626-5485,
Patricia Santana Colombia 117-724-4650,
Matilde Vera Costa Rica 276-783-3493,
Martina Ortega El Salvador 485-278-7358,
Aurora Colón España 771-541-1848,
Felipe Benavides República Dominicana 739-128-3352,
Diana González Bolivia 478-615-9186,
Gonzalo Arias Puerto Rico 532-385-9551,
Cristina Romero Nicaragua 973-227-2560,
Gael Nieto Paraguay 036-564-8772,
Guadalupe Palacios Perú 421-255-7534,
Diego Pérez Uruguay 818-204-5254,
Margarita Blanco Cuba 794-555-2795,
Óscar Reyes Uruguay 323-581-3655,
Dolores Sandoval Ecuador 964-817-6134,
Beatriz Suárez Colombia 128-154-8102,
Natalia Cruz Chile 374-487-7462,
José Castellanos República Dominicana 552-788-1941,
Alfonso Ibarra Cuba 280-334-2108,
Salvador Arce Puerto Rico 670-117-7836,
Rosa Quintana República Dominicana 244-830-4172,
Julia Pacheco El Salvador 675-864-0774,
Alejandra Bonilla Guatemala 874-160-3386,
Lidia Espinosa Guinea Ecuatorial 197-213-3926,
Carlos Ramírez Cuba 888-546-5963,
Flor Romero Venezuela 247-888-9752,
Elisa García Paraguay 481-755-3160,
Lila Zamora Puerto Rico 728-278-2734,
Elías Hurtado Argentina 630-783-6502,
Camilo Reyes Nicaragua 439-855-0898,
Rebeca Suárez Colombia 889-561-4788,
Clara Osorio Paraguay 328-663-7466,
